Content,Category
"my vehicle is broken down.tell me exact or approximate location.we need the engineer on the spot. we need the technician on the spot. 
we need the mechanic on the spot. Give me service urgent. Send engineer fast. Send mechanic fast. Send technician fast. tell me your vehicle number,color and model.",Break Down
"my vehicle is broken down between my journey.
tell me your vehicle number,color and model.
our nearest service center is away. can you provide me a mechanic on urgen t basis. I need service because my vehicle is broken down.",Break Down
"come as fast as possible. yout have to stay. can I know your location. tell me your vehicle number,color and model. we need the technician on the spot.  we need the mechanic on the spot.",Break Down
we are trying to assess your feedback.Rate us in 1 to 5. can i have your time please did engineer come on time. are you feeling satisfactory from our service,Feedback
I am taking feedback for our service which are provided by us. you have to give rating between 1 to 10. what is your opinion about services of our company. I would like to give you 7 out of 10. What is your opinion about other facilities of our company. ,Feedback
I want to take feedback. can i have your two minutes please. Please give rating between 1 to 10 where 1 is very good and 10 is very bad. opinion about facilities are provided by dealer. Service is very good. ,Feedback
"i want to take the test drive of the car. test drive for this is not possible. test drive for this is possible. what is the timing for test drive. 
you have mentioned that test drive is possible for any day.",Test Drive
i want to take test drive of electric car. test drive is only available between 10:00 a.m. to 3:00 p.m. test drive is not available on sunday. i will contact you whenever test drive is available. can i book my test drive now ,Test Drive
test drive is only available between 10:00 a.m. to 3:00 p.m. this time test drive is not available.,Test Drive
I would like on purchase new vehicle. Looking for a truck in ten ton category. would you like know about specific information? how many models you have? we have five models available in ten ton category. what about mileage? 25 km/litre is mileage. what is price of it? 3600000 rs. is price of it. and these are features is available.,New Vehicle Purchase
I want to buy new car. in which category? sedan i would like to prefer. in sedan we have two new model available. and what about transmission type would you like prefer automatic or manual. what is price the price automatic one? 800000 and 100000 price.,New Vehicle Purchase
I am looking for bike. is any new models is available in sports bike category? we have two new models. what is the features of it? these features is available in these models but models are not available in your area. so when it will available? after the 1 week okay then what is a price of it?,New Vehicle Purchase
my vehicle quality is not upto the mark till last 2 months. what is the problem in your vehicle? engine make some voice after driving of 10-15 minutes. i dont know much about engine but i think any part is break in it. have you talk with you dealer for it? yes but they didn't involve as much as needed and i have done many repetitive complain but no response.,Vehicle Quality
"i found problem in my car. what is the problem in your car? the mileage. I am not getting it upto the mark and condition getting more worst. have talk with your dealer? Yes, they have done some services but after some time quality is become as it before. and now i am repetitivly doing complain but they are not invlove in my problem.",Vehicle Quality
In my truck gear box is making some noise. Vehicle quality is getting worst due to this. I have done lots of complaint to my dealer but he is not responding well.,Vehicle Quality
